中心地,名前,住所
福岡市,メガフェイス880博多本店,福岡市博多区博多駅南３丁目６−１６
福岡市,玉屋∞本店,福岡市中央区春吉３丁目１２−１
福岡市,ワンダーランド 香椎本館,福岡市東区千早５丁目５−１ パチンコワンダーランド
福岡市,メガフェイス960 飯塚,"195-1, 195番地１ 若菜 飯塚市"
福岡市,ワンダーランド1188福岡東店,粕屋町仲原２５１４−１８ 糟屋郡糟屋郡 粕屋町仲原）大字）２５８０−２
福岡市,メガフェイス1000糸島,糸島市浦志１丁目６−１
福岡市,プラザ博多,福岡市博多区博多駅中央街５−３
福岡市,ＨＩＮＯＤＥ大野城店,大野城市瓦田４丁目１２−５
福岡市,メガフェイス1030 伊都店,福岡市西区北原１丁目１６−２６
福岡市,玉屋 太宰府店,太宰府市通古賀３丁目１−１
福岡市,クラブハウス 本店,飯塚市弁分４０−３
福岡市,那珂川キング本店1500,那珂川市 筑紫郡那珂川市今光６丁目５２
福岡市,ZOOM太宰府店,太宰府市 高雄1-3073-1
福岡市,MJアリーナ 箱崎店,福岡市東区箱崎４丁目１５−２９
福岡市,ユーコーラッキー３７ 鳥栖店,鳥栖市元町１３５７
福岡市,MEGA FACE 1500 宗像,宗像市徳重２丁目３−１
福岡市,プラザ 本店,福岡市博多区西月隈３丁目６−１７
福岡市,玉屋 筑前店,筑前町朝日６９５−１ 玉屋筑前店 1階
福岡市,玉屋 555大橋,福岡市南区大橋１丁目７−１５ 玉屋大橋ビル 2F
福岡市,ワンダーランド 香椎Ⅱ,福岡市東区千早５丁目５−３３
福岡市,プラザ天神,福岡市中央区天神２丁目６−４１
福岡市,ブーム 天神本店,福岡市中央区今泉１丁目１３−１
福岡市,マルハン 箱崎店,福岡市東区箱崎７丁目９−５２
福岡市,プラザ3,福岡市博多区博多駅南４丁目２１−１０
福岡市,Super D'station39福岡本店,粕屋町仲原２５７３−１
福岡市,GION１・１,福岡市博多区祇園町１−３０
福岡市,まるみつ大橋店,福岡市南区大橋１丁目１−３０ パチンコスペースインパレス
福岡市,ひばり 吉塚店,福岡市博多区吉塚２丁目１−２
福岡市,ファンファクトリー 太宰府栄店,太宰府市通古賀４丁目３−１
福岡市,Super D'station39伊都店,福岡市西区西区北原１丁目８−１
福岡市,ワンダーランド 小戸本館,福岡市西区小戸４丁目２４−３６
福岡市,Ａパーク春日店,春日市日の出町５丁目２４
福岡市,キング3 久山店1700,久山町久原３１８６
福岡市,イースペース福岡本店,福岡市東区原田３丁目７−３５
福岡市,SuperD'station 39 福重遠隔店,福岡市西区拾六町１丁目２−３１
福岡市,ＭＪアリーナ 空港店,福岡市博多区豊２丁目４−３６
福岡市,ＭＪアリーナ干隈店,福岡市早良区干隈６丁目８−１２
福岡市,１２３博多店,福岡市博多区住吉２丁目６−２４
福岡市,ＭＪアリーナ板付店,福岡市博多区西月隈６丁目７−１０
福岡市,ワンダーランド 百年橋店,福岡市南区那の川１丁目１−１
福岡市,玉屋トリアーダ宗像店,宗像市光岡２９０
福岡市,ワンダーランド 須恵店,須惠町須惠１０５１−１
福岡市,玉屋 空港店,福岡市博多区東那珂２丁目８−５０
福岡市,ワンダーランド 西新店,福岡市早良区城西３丁目２０−１５
福岡市,Super D'station39筑紫野店,筑紫野市筑紫９６８−２
福岡市,玉屋∞新宮,新宮町三代西１丁目４−１
福岡市,玉屋屋形原店,福岡市南区中尾３丁目３５−５
福岡市,MJアリーナ志免店,糟屋郡志免町南里１丁目１２−１
福岡市,つかさ 筑紫野店,筑紫野市石崎１丁目５−１７
福岡市,ＭＪアリーナ 井尻店,春日市桜ヶ丘４丁目１４
福岡市,MEGA BEAM ASAKURA 999,筑前町四三嶋１７９６
福岡市,マルハン 二又瀬店,福岡市東区二又瀬新町２−５
福岡市,ワンダーランド 小戸Ⅱ,福岡市西区小戸４丁目２１−１
福岡市,ファンファクトリー栄筑紫野店,筑紫野市二日市南３丁目５−１４
福岡市,Super D’station39飯塚店,飯塚市弁分１５−４
福岡市,ブロス 甘木店,朝倉市甘木４３９−１
福岡市,PSJ西新店,福岡市早良区西新５丁目２−３９
福岡市,ワンダーランド 小郡三沢店,小郡市三沢３０５１−８
福岡市,玉屋∞室見,福岡市早良区室見５丁目１−２４
福岡市,ワンダーランド 南ヶ丘店,大野城市紫台１９−１０
久留米市,マルハン 佐賀店,佐賀市巨勢町牛島７６０−１
久留米市,ワンダーランド 柳川店,柳川市三橋町枝光３７６−１
久留米市,ワンダーランド 高田店,みやま市高田町今福６６９
久留米市,マルハン みやき店,みやき町江口８１０６
久留米市,ワンダーランド 770東合川店,久留米市山川沓形町３−１ パチンコワンダーランド
久留米市,フェイス850 佐賀,佐賀市兵庫北６丁目１２−１ パチンコフェイス８５０佐賀
久留米市,ユーコーラッキー37ゆめパーク久留米店,久留米市新合川２丁目６−４５
久留米市,マルハン 東与賀店,２他 ５筆 佐賀市東与賀町大字下古賀字一本杉１６６番
久留米市,キャロル96上峰店,上峰町坊所２５１４−５２
久留米市,ワンダーランド 三潴店,久留米市三潴町高三潴１９０３
久留米市,ベルエアマックス1000広川店,広川町新代１３１１−１
久留米市,ワンダーランド 大川店,大川市榎津９４−３
久留米市,MJアリーナ 久留米店,久留米市津福本町２５６−４
久留米市,マルハン 大川店,大川市幡保２８５
久留米市,若宮ゴールデンラッキー,佐賀市若宮１丁目１−１０
久留米市,ユーコーラッキー 国分店,久留米市国分町１４２２−１
久留米市,ワンダーランド うきはバイパス店,うきは市吉井町鷹取５４−１
久留米市,ユーコーラッキー37筑後店,筑後市長浜２２４６−７
久留米市,フェイス701巨勢,佐賀市巨勢町４９０−１
久留米市,ワンダーランド １１８８大刀洗店,大刀洗町高樋２４５０−３
久留米市,Ａパーク 屋形原店,福岡市南区屋形原５丁目８−２６
久留米市,つかさ 神埼店,神埼市神埼町本告牟田１１９１
久留米市,ワンダーランド 吉井店,うきは市吉井町清瀬５１８−１
久留米市,スーパーハリウッド1120,春日市星見ヶ丘６丁目32番地
久留米市,WIN-WIN ONE 久留米店,久留米市諏訪野町２５７５−２
久留米市,フェイス666 神埼,吉野ヶ里町吉田２８５７−１
久留米市,メッカ 朝倉店,朝倉市屋永４３３４−２
久留米市,ダイナム福岡甘木店,朝倉市甘木404番地2
久留米市,玉屋中尾店,福岡市南区中尾２丁目２−２７
久留米市,ユーコーラッキー 広又本店,久留米市東町２８−９ 広又ラッキー
久留米市,エムザス みやき店,三養基郡みやき町白壁２１１７−１
久留米市,ゴールドラッシュ 鳥栖店,鳥栖市神辺町２１−１
久留米市,ユーコーラッキー37 太宰府店,太宰府市大佐野２丁目１５−１
久留米市,EVO37久留米(イーヴォスリーセブンクルメ),久留米市新合川２丁目６−７
久留米市,キャロル96津福本店,久留米市津福本町１４４１−１
久留米市,スタジアム 2001 八女店,八女市室岡７７９−１
久留米市,太陽会館 一番街店,久留米市東町３９−１６
久留米市,キング2,那珂川市中原２丁目１０
久留米市,日の出ラッキー,佐賀市日の出１丁目５−２３
久留米市,スロットBe-1 柳川店,柳川市三橋町白鳥５０２−１
久留米市,テンガイ 八女店,八女市大島１２５−１
久留米市,ダイナム福岡八女店,八女市蒲原 横枕２０９
久留米市,那珂川ゴールデンラッキー,那珂川市片縄４丁目２９
久留米市,ニコピー,久留米市小森野５丁目１−３６
北九州市,メガフェイス1300 小倉南店,北九州市小倉南区下曽根新町２−１
北九州市,永楽本店,下関市竹崎町４丁目１−３
北九州市,MGM苅田店,苅田町幸町６−８
北九州市,スタジアム2001 遠賀店,遠賀町尾崎１７１６−１
北九州市,パサージュ８３０西港店,北九州市小倉北区西港町１６−５
北九州市,マルハン 苅田店,苅田町幸町５−１１
北九州市,フェイス707幸袋,飯塚市幸袋４８７−１
北九州市,グランドアサヒ,北九州市小倉北区宇佐町２丁目１０−５９
北九州市,パーラーアサヒ 下到津店,北九州市小倉北区下到津４丁目１−２２
北九州市,スペース666,北九州市戸畑区牧山新町１−１ ２１SPACE666
北九州市,小倉コロナ,北九州市小倉北区西港町２７−５ 小倉コロナワールド コロナの湯 内
北九州市,永楽(駅前店),下関市竹崎町２丁目１３−１０
北九州市,ゴールデンアサヒ,北九州市小倉北区明和町９−１０
北九州市,アサヒ駅前店,北九州市小倉北区京町２丁目１−１９
北九州市,スペース444,北九州市戸畑区牧山新町１−21 SPACE444
北九州市,D'station39中間店,中間市上蓮花寺４丁目１−１
北九州市,フェイス950高須,北九州市若松区高須東４丁目１−１０ フェイス７６０高須
北九州市,ピータウン 苅田店,苅田町尾倉２丁目１−３
北九州市,P-Line,北九州市門司区旧門司１丁目４−２６
北九州市,PSJBB1000新下関店,下関市一の宮住吉３丁目１−３２
北九州市,PSJ長府店,下関市亀浜町６−１
北九州市,フェイス７００宮田本城店,宮若市本城７０２番地
北九州市,フェイス７７７ 遠賀,遠賀町広渡１５９６−１
北九州市,ゾーン 行橋店,行橋市西宮市３丁目３−１ 田川 苅田 パチンコ スロット
北九州市,ゾーン 苅田,苅田町磯浜町１丁目１０−７
北九州市,PSJスーパージャンボ 一の宮店,下関市一の宮町４丁目３−７ パチンコＰＳＪ
北九州市,☆スーパーハリウッド☆門司店☆,北九州市門司区片上海岸３−９５−６８
北九州市,アリーナ 門司店,北九州市門司区柳町１丁目７−５ パチンコアリーナ
北九州市,PSJ綾羅木店,下関市綾羅木新町１丁目１−１ パチンコＰＳＪ
北九州市,エーワン 八幡店,北九州市八幡西区野面３０３−１
北九州市,ゾーン 戸畑店,北九州市戸畑区牧山新町１−３８ 1F
北九州市,ロータリーパワーステーションホール,下関市幡生宮の下町１０−２０ パチンコロータリーパワーステーション
北九州市,P-TOWN 下到津店,北九州市小倉北区下到津１丁目１−１０
北九州市,ダイナム下関店,下関市長府才川１丁目57番1号
北九州市,マルハン 本城店,北九州市八幡西区本城４丁目８−１０
北九州市,テキサス1000 小倉店,北九州市小倉北区鋳物師町３−１ パチンコテキサス１０００
北九州市,ダイナム福岡頴田店,飯塚市佐與１５５８
北九州市,アリーナ 小倉,北九州市小倉南区城野１丁目８−３３
北九州市,ゾーン 本城店,北九州市八幡西区本城東５丁目２−３３
北九州市,エーワン 福智店,福智町赤池１１１２−１
北九州市,パチンコ専門店アプロ1,北九州市小倉北区中津口１丁目４−１ アプロ・１
北九州市,門司ジェイピーステージ,北九州市門司区下二十町４−５０ パチンコ門司ジェイピーステージ
北九州市,ベルエアマックス 本城店,北九州市八幡西区本城東４丁目５−３ パチンコベルエアＭＡＸ
北九州市,ダッシュ 葛原店,北九州市小倉南区葛原東１丁目４−１ パチンコダッシュ
北九州市,パーラートキワ,北九州市小倉北区魚町１丁目３−１３
北九州市,ベガ小嶺店,北九州市八幡西区小嶺１丁目７−７
北九州市,アプロ7,北九州市小倉北区中津口１丁目３−７ ＳＬＯＴ ＡＰＲＯ．７
北九州市,PASSAGE STATION,北九州市小倉北区京町２丁目１−１５
北九州市,エーワンＤＥＡＲ黒崎店,北九州市八幡西区黒崎２丁目２−２
北九州市,黒崎 太陽会館,北九州市八幡西区黒崎２丁目２−１
北九州市,D’station39門司店,北九州市門司区大里原町１−３０
北九州市,ズーム 本城店,北九州市八幡西区本城東４丁目１０−１４
北九州市,クィーンラスベガス,北九州市八幡西区里中３丁目４−５ パチンコクイーン・ラスベガス
北九州市,パサージュGT 北方,北九州市小倉南区北方２丁目２６−８
北九州市,ギオン 三萩野,北九州市小倉北区香春口２丁目９２３
北九州市,ダッシュ八幡店,北九州市八幡東区中央２丁目１８−１
北九州市,GION KOKURA,北九州市小倉北区京町２丁目６−２２
北九州市,OPA 黒住店,北九州市小倉北区黒住町１
北九州市,クラブハウス 宮田支店,宮若市本城１１１４
北九州市,FORE,北九州市若松区中川町１２−２１
八女市,モナコパレス グリーンランド店,荒尾市本井手１５７４−４３
八女市,マルハン 荒尾店,荒尾市西原町３丁目２−４４
八女市,ワンダーランド 八江店,大牟田市田端町３５
八女市,マルハン 山鹿店,山鹿市方保田３４１７−１
八女市,ベルエアマックス 荒尾店,荒尾市本井手１５１８−１
八女市,ワンダーランド 日出町店,大牟田市日出町２丁目３−１８
八女市,E・L・L・E （エル） 菊池店,菊池市西寺１５２２
八女市,つかさ 大牟田店,大牟田市船津町４６７−３
八女市,ワンダーランド メタルポリス,大牟田市八江町４８
八女市,マルハン 大牟田銀水店,大牟田市草木１３５−１
八女市,夢屋 大牟田店,大牟田市手鎌１５９３−１
八女市,BEAM YAME,八女市本村５６１−１
八女市,太陽会館 国分店,久留米市野中町１３６２−１
八女市,ダイナム福岡久留米店 ゆったり館,久留米市梅満町 字田角町297番地4
八女市,ダイナム 福岡柳川店 ゆったり館,柳川市三橋町蒲船津字三ツ橋104番地1
八女市,（株）ユーコー,久留米市東町２８−９ 広又ラッキー
八女市,つかさ 菊池店,菊池市野間口569番地
八女市,ダイナム福岡大刀洗店 ゆったり館,大刀洗町３４６４
八女市,ダイナム佐賀鳥栖店 ゆったり館,鳥栖市真木町字荒巻1712番地7
八女市,キャロル遊遊館,久留米市津福本町７８９−１
八女市,ダイナム佐賀上峰店 ゆったり館,上峰町坊所1539番地9
八女市,ダイナム福岡大川店 ゆったり館,大川市向島 小屋ノ内１６８８番地１
朝倉市,メガフェイス1250田川店,田川市弓削田３６４６−１
朝倉市,エムザス 小笹店,福岡市中央区小笹３丁目４−１
朝倉市,つかさ 月隈店,福岡市博多区西月隈１丁目１−４３
朝倉市,イースペース600空港店,志免町別府２丁目１８−５
朝倉市,プラザ 本店Ⅱ,福岡市博多区西月隈３丁目５−３２ プラザ本店２
朝倉市,BEAM by HIKARI,大野城市御笠川１丁目１３−３
朝倉市,BEAM 1one,大野城市御笠川４丁目７−１２
朝倉市,GOGOアリーナ天神,福岡市中央区天神２丁目６−３７
朝倉市,プラザ長浜,福岡市中央区港１丁目２−１０
朝倉市,オーパ 千鳥橋店,福岡市博多区千代６丁目１
糸島市,玉屋666唐津,唐津市和多田本村５−５１
糸島市,パーラーゾーン姪浜店,福岡市西区姪浜駅南１丁目２−２３
糸島市,キングホール 和多田本店,唐津市和多田本村３−７２
糸島市,A-SLOT333香椎店,東区香椎駅前１丁目６−１８
糸島市,ひばり新宮店,新宮町美咲３丁目１−１０
糸島市,PSJ BIGBOM新宮店,新宮町三代西１丁目１−１５
糸島市,ひばり 前原店,糸島市加布里５８
糸島市,テンガイ 唐津店,唐津市和多田本村３９３１−１
糸島市,ヴィーナスギャラリー清川店,福岡市中央区清川２丁目１２−８
糸島市,キングホール 前原店,糸島市浦志１丁目７−３ キングホール
糸島市,エムザス 笹丘店,福岡市中央区笹丘１丁目１２−２６
糸島市,ダイナム佐賀唐津店,唐津市鏡3596番地
糸島市,荒江プラザ,福岡市城南区飯倉１丁目６−３７
直方市,Four Season's ゼロ,田川市伊加利２０１１−５
直方市,ダイナム福岡嘉麻店,嘉麻市平1640番地
直方市,クラブハウス 川崎支店,川崎町池尻３８−１
直方市,PSJ 古賀店,古賀市久保１０７０−１
直方市,ＨＩＮＯＤＥ志免店,志免町南里６丁目１２−１
直方市,ユーコーラッキー 三ケ森店,北九州市八幡西区三ケ森４丁目１０−１
直方市,ダイナム福岡桂川店,桂川町土居 字彼岸田830番地2
直方市,ゾーン 行橋今井店,行橋市今井１１３０
直方市,がちゃぽん 戸畑店,北九州市戸畑区牧山新町３−５
直方市,エリア21,北九州市若松区高須西１丁目１−１
直方市,イースペース篠栗店,篠栗町庄２丁目８−８
行橋市,アリーナ港町,宇部市港町１丁目１１−１６
行橋市,マルハン 宇部店,宇部市東見初町１−４０
行橋市,ワンダーランド 中津米山店,中津市蛎瀬１２８０−１
行橋市,マルハン 中津店,中津市東浜８９７
行橋市,中津サミット,中津市一ツ松２２８
行橋市,パーラージャンボ則松店,北九州市八幡西区則松５丁目４−６
行橋市,パーラー21世紀,北九州市八幡西区楠橋南３丁目２−３９
行橋市,OPA片野北店,北九州市小倉北区片野３丁目１０−１３
大牟田市,CORE21 下通店,熊本市中央区下通１丁目１２−２７
大牟田市,１２３新市街店,熊本市中央区新市街９−１
大牟田市,FACE 555 新市街店,熊本市中央区新市街７−３
大牟田市,ベルエアマックス北部店,熊本市北区四方寄町１６６６−１
大牟田市,CORE21 玉名店,玉名市岱明町下前原４９−１
大牟田市,シルバーバック 上熊本店,熊本市西区上熊本２丁目５−番１６号
大牟田市,ファミリー三愛 植木店,熊本市北区植木町投刀塚３３１
大牟田市,パーラーラッキー下田店,佐賀市下田町２−６６ 下田ラッキ
大牟田市,Be-1 佐賀店,佐賀市下田町１−３０
大牟田市,フェスタ 島原店,島原市前浜町丙160
大牟田市,J-スクエア,島原市北門町１２８１
大牟田市,ジョープレゼッツ,玉名市天水町部田見２７８１−１
大牟田市,つかさ 築地店,玉名市築地１０８
大牟田市,スロットタウンZERO 小城牛津店,小城市牛津町勝１２６４
大牟田市,パチンコ親和 島原店,島原市大手原町６−１
大牟田市,123ライト新市街,熊本市中央区新市街１−２０
大牟田市,ダイナム熊本長洲店 ゆったり館,長洲町清源寺 字前浜3032番地
大牟田市,シルバーバック新山鹿店,山鹿市山鹿803番地
大牟田市,ダイナム佐賀川副店 ゆったり館,佐賀市川副町大字南里１−８０６
大牟田市,ダイナム長崎島原店 ゆったり館,島原市新馬場町１７０
大牟田市,ダイナム山鹿店 ゆったり館,山鹿市志々岐下津留２５
大牟田市,ダイナム植木店 ゆったり館,熊本市北区植木町岩野１７９３
大牟田市,ファミリー三愛植木店事務所,熊本市北区植木町投刀塚３３１
飯塚市,メッカエックスピー頓野店,直方市頓野３２２９−１
飯塚市,デル田川,田川市大字 夏吉194-147
飯塚市,ダイナム福岡川崎店 ゆったり館,川崎町田原１０９６−１
飯塚市,ダイナム福岡田川店 ゆったり館,田川市伊田4237番地1
