name,address,latitude,longitude,description
メガフェイス880博多本店,福岡市博多区博多駅南３丁目６−１６,33.5832510,130.4257656,
玉屋∞本店,福岡市中央区春吉３丁目１２−１,33.5900371,130.4068820,
ワンダーランド 香椎本館,福岡市東区千早５丁目５−１ パチンコワンダーランド,33.6540888,130.4396901,
メガフェイス960 飯塚,"195-1, 195番地１ 若菜 飯塚市",33.6275158,130.6716319,
ワンダーランド1188福岡東店,粕屋町仲原２５１４−１８ 糟屋郡糟屋郡 粕屋町仲原）大字）２５８０−２,33.6091903,130.4513942,
メガフェイス1000糸島,糸島市浦志１丁目６−１,33.5612759,130.2117306,
プラザ博多,福岡市博多区博多駅中央街５−３,33.5896477,130.4219649,
ＨＩＮＯＤＥ大野城店,大野城市瓦田４丁目１２−５,33.5329074,130.4847109,
メガフェイス1030 伊都店,福岡市西区北原１丁目１６−２６,33.5783453,130.2544081,
玉屋 太宰府店,太宰府市通古賀３丁目１−１,33.5089914,130.5080611,
クラブハウス 本店,飯塚市弁分４０−３,33.6239393,130.6688641,
那珂川キング本店1500,那珂川市 筑紫郡那珂川市今光６丁目５２,33.5209888,130.4284525,
ZOOM太宰府店,太宰府市 高雄1-3073-1,33.4946939,130.5362478,
MJアリーナ 箱崎店,福岡市東区箱崎４丁目１５−２９,33.6231824,130.4193322,
ユーコーラッキー３７ 鳥栖店,鳥栖市元町１３５７,33.3754243,130.5062750,
MEGA FACE 1500 宗像,宗像市徳重２丁目３−１,33.7997434,130.5886427,
プラザ 本店,福岡市博多区西月隈３丁目６−１７,33.5712155,130.4537546,
玉屋 筑前店,筑前町朝日６９５−１ 玉屋筑前店 1階,33.4696633,130.5672202,
玉屋 555大橋,福岡市南区大橋１丁目７−１５ 玉屋大橋ビル 2F,33.5590294,130.4259248,
ワンダーランド 香椎Ⅱ,福岡市東区千早５丁目５−３３,33.6537529,130.4407326,
プラザ天神,福岡市中央区天神２丁目６−４１,33.5890851,130.3964122,
ブーム 天神本店,福岡市中央区今泉１丁目１３−１,33.5863048,130.4004443,
マルハン 箱崎店,福岡市東区箱崎７丁目９−５２,33.6338758,130.4234657,
プラザ3,福岡市博多区博多駅南４丁目２１−１０,33.5779248,130.4303828,
Super D'station39福岡本店,粕屋町仲原２５７３−１,33.6088753,130.4499619,
GION１・１,福岡市博多区祇園町１−３０,33.5937946,130.4141582,
まるみつ大橋店,福岡市南区大橋１丁目１−３０ パチンコスペースインパレス,33.5601238,130.4257739,
ひばり 吉塚店,福岡市博多区吉塚２丁目１−２,33.6039442,130.4242714,
ファンファクトリー 太宰府栄店,太宰府市通古賀４丁目３−１,33.5083624,130.5072396,
Super D'station39伊都店,福岡市西区西区北原１丁目８−１,33.5786597,130.2570781,
ワンダーランド 小戸本館,福岡市西区小戸４丁目２４−３６,33.5854910,130.3139583,
Ａパーク春日店,春日市日の出町５丁目２４,33.5410621,130.4515534,
キング3 久山店1700,久山町久原３１８６,33.6394633,130.4968652,
イースペース福岡本店,福岡市東区原田３丁目７−３５,33.6220826,130.4387033,
SuperD'station 39 福重遠隔店,福岡市西区拾六町１丁目２−３１,33.5677540,130.3161210,
ＭＪアリーナ 空港店,福岡市博多区豊２丁目４−３６,33.5985549,130.4356400,
ＭＪアリーナ干隈店,福岡市早良区干隈６丁目８−１２,33.5496704,130.3479321,
１２３博多店,福岡市博多区住吉２丁目６−２４,33.5868592,130.4123012,
ＭＪアリーナ板付店,福岡市博多区西月隈６丁目７−１０,33.5615192,130.4593075,
ワンダーランド 百年橋店,福岡市南区那の川１丁目１−１,33.5762429,130.4152559,
玉屋トリアーダ宗像店,宗像市光岡２９０,33.7849505,130.5549088,
ワンダーランド 須恵店,須惠町須惠１０５１−１,33.5851375,130.5063555,
玉屋 空港店,福岡市博多区東那珂２丁目８−５０,33.5772662,130.4448340,
ワンダーランド 西新店,福岡市早良区城西３丁目２０−１５,33.5819082,130.3604595,
Super D'station39筑紫野店,筑紫野市筑紫９６８−２,33.4581770,130.5378760,
玉屋∞新宮,新宮町三代西１丁目４−１,33.7006139,130.4526666,
玉屋屋形原店,福岡市南区中尾３丁目３５−５,33.5438065,130.4087267,
MJアリーナ志免店,糟屋郡志免町南里１丁目１２−１,33.5941785,130.4716446,
つかさ 筑紫野店,筑紫野市石崎１丁目５−１７,33.4847270,130.5286290,
ＭＪアリーナ 井尻店,春日市桜ヶ丘４丁目１４,33.5447895,130.4476992,
MEGA BEAM ASAKURA 999,筑前町四三嶋１７９６,33.4374516,130.5817376,
マルハン 二又瀬店,福岡市東区二又瀬新町２−５,33.6088244,130.4415261,
ワンダーランド 小戸Ⅱ,福岡市西区小戸４丁目２１−１,33.5844811,130.3146558,
ファンファクトリー栄筑紫野店,筑紫野市二日市南３丁目５−１４,33.4889202,130.5247289,
Super D’station39飯塚店,飯塚市弁分１５−４,33.6221285,130.6706043,
ブロス 甘木店,朝倉市甘木４３９−１,33.4066089,130.6515822,
PSJ西新店,福岡市早良区西新５丁目２−３９,33.5820536,130.3573812,
ワンダーランド 小郡三沢店,小郡市三沢３０５１−８,33.4189869,130.5587215,
玉屋∞室見,福岡市早良区室見５丁目１−２４,33.5804402,130.3396596,
ワンダーランド 南ヶ丘店,大野城市紫台１９−１０,33.5051798,130.4799600,
マルハン 佐賀店,佐賀市巨勢町牛島７６０−１,33.2531772,130.3161179,
ワンダーランド 柳川店,柳川市三橋町枝光３７６−１,33.1766088,130.3995005,
ワンダーランド 高田店,みやま市高田町今福６６９,33.1064535,130.4587258,
マルハン みやき店,みやき町江口８１０６,33.3196514,130.4829365,
ワンダーランド 770東合川店,久留米市山川沓形町３−１ パチンコワンダーランド,33.3187890,130.5628464,
フェイス850 佐賀,佐賀市兵庫北６丁目１２−１ パチンコフェイス８５０佐賀,33.2756109,130.3137049,
ユーコーラッキー37ゆめパーク久留米店,久留米市新合川２丁目６−４５,33.3189796,130.5412540,
マルハン 東与賀店,２他 ５筆 佐賀市東与賀町大字下古賀字一本杉１６６番,33.1810938,130.2807777,
キャロル96上峰店,上峰町坊所２５１４−５２,33.3352139,130.4186217,
ワンダーランド 三潴店,久留米市三潴町高三潴１９０３,33.2504764,130.4542826,
ベルエアマックス1000広川店,広川町新代１３１１−１,33.2532118,130.5398939,
ワンダーランド 大川店,大川市榎津９４−３,33.2038263,130.3812177,
MJアリーナ 久留米店,久留米市津福本町２５６−４,33.3039991,130.5108999,
マルハン 大川店,大川市幡保２８５,33.1976023,130.3796092,
若宮ゴールデンラッキー,佐賀市若宮１丁目１−１０,33.2708895,130.2934739,
ユーコーラッキー 国分店,久留米市国分町１４２２−１,33.2995644,130.5313555,
ワンダーランド うきはバイパス店,うきは市吉井町鷹取５４−１,33.3482551,130.7295074,
ユーコーラッキー37筑後店,筑後市長浜２２４６−７,33.2092156,130.5105705,
フェイス701巨勢,佐賀市巨勢町４９０−１,33.2501684,130.3223491,
ワンダーランド １１８８大刀洗店,大刀洗町高樋２４５０−３,33.4051049,130.5995440,
Ａパーク 屋形原店,福岡市南区屋形原５丁目８−２６,33.5313926,130.4042330,
つかさ 神埼店,神埼市神埼町本告牟田１１９１,33.2982071,130.3614168,
ワンダーランド 吉井店,うきは市吉井町清瀬５１８−１,33.3405393,130.7667690,
スーパーハリウッド1120,春日市星見ヶ丘６丁目32番地,33.5075644,130.4510447,
WIN-WIN ONE 久留米店,久留米市諏訪野町２５７５−２,33.3123431,130.5272613,
フェイス666 神埼,吉野ヶ里町吉田２８５７−１,33.3295359,130.4118977,
メッカ 朝倉店,朝倉市屋永４３３４−２,33.4070916,130.6683441,
ダイナム福岡甘木店,朝倉市甘木404番地2,33.4078905,130.6541165,
玉屋中尾店,福岡市南区中尾２丁目２−２７,33.5434358,130.4090742,
ユーコーラッキー 広又本店,久留米市東町２８−９ 広又ラッキー,33.3107921,130.5168211,
エムザス みやき店,三養基郡みやき町白壁２１１７−１,33.3253454,130.4768428,
ゴールドラッシュ 鳥栖店,鳥栖市神辺町２１−１,33.3869980,130.5126347,
ユーコーラッキー37 太宰府店,太宰府市大佐野２丁目１５−１,33.5032347,130.4986425,
EVO37久留米(イーヴォスリーセブンクルメ),久留米市新合川２丁目６−７,33.3194006,130.5409032,
キャロル96津福本店,久留米市津福本町１４４１−１,33.2966770,130.5011534,
スタジアム 2001 八女店,八女市室岡７７９−１,33.2156798,130.5201594,
太陽会館 一番街店,久留米市東町３９−１６,33.3123891,130.5197620,
キング2,那珂川市中原２丁目１０,33.5176652,130.4327496,
日の出ラッキー,佐賀市日の出１丁目５−２３,33.2754729,130.2973138,
スロットBe-1 柳川店,柳川市三橋町白鳥５０２−１,33.1630751,130.4427745,
テンガイ 八女店,八女市大島１２５−１,33.2165653,130.5653915,
ダイナム福岡八女店,八女市蒲原 横枕２０９,33.2160740,130.5406884,
那珂川ゴールデンラッキー,那珂川市片縄４丁目２９,33.5159119,130.4218938,
ニコピー,久留米市小森野５丁目１−３６,33.3390786,130.5129927,
メガフェイス1300 小倉南店,北九州市小倉南区下曽根新町２−１,33.8338854,130.9313818,
永楽本店,下関市竹崎町４丁目１−３,33.9502945,130.9267331,
MGM苅田店,苅田町幸町６−８,33.7924390,130.9841799,
スタジアム2001 遠賀店,遠賀町尾崎１７１６−１,33.8491124,130.6386512,
パサージュ８３０西港店,北九州市小倉北区西港町１６−５,33.9011396,130.8515027,
マルハン 苅田店,苅田町幸町５−１１,33.7886241,130.9849487,
フェイス707幸袋,飯塚市幸袋４８７−１,33.6580133,130.6834189,
グランドアサヒ,北九州市小倉北区宇佐町２丁目１０−５９,33.8743586,130.8909980,
パーラーアサヒ 下到津店,北九州市小倉北区下到津４丁目１−２２,33.8800552,130.8565257,
スペース666,北九州市戸畑区牧山新町１−１ ２１SPACE666,33.8939093,130.8168252,
小倉コロナ,北九州市小倉北区西港町２７−５ 小倉コロナワールド コロナの湯 内,33.8966797,130.8581075,
永楽(駅前店),下関市竹崎町２丁目１３−１０,33.9511479,130.9244523,
ゴールデンアサヒ,北九州市小倉北区明和町９−１０,33.8741436,130.8903364,
アサヒ駅前店,北九州市小倉北区京町２丁目１−１９,33.8857516,130.8802427,
スペース444,北九州市戸畑区牧山新町１−21 SPACE444,33.8940494,130.8181958,
D'station39中間店,中間市上蓮花寺４丁目１−１,33.8231765,130.7211224,
フェイス950高須,北九州市若松区高須東４丁目１−１０ フェイス７６０高須,33.8905770,130.6902653,
ピータウン 苅田店,苅田町尾倉２丁目１−３,33.7639932,130.9779451,
P-Line,北九州市門司区旧門司１丁目４−２６,33.9540471,130.9657975,
PSJBB1000新下関店,下関市一の宮住吉３丁目１−３２,33.9963972,130.9556522,
PSJ長府店,下関市亀浜町６−１,34.0327779,131.0158259,
フェイス７００宮田本城店,宮若市本城７０２番地,33.7292526,130.6740295,
フェイス７７７ 遠賀,遠賀町広渡１５９６−１,33.8498664,130.6783767,
ゾーン 行橋店,行橋市西宮市３丁目３−１ 田川 苅田 パチンコ スロット,33.7217960,130.9680668,
ゾーン 苅田,苅田町磯浜町１丁目１０−７,33.7816203,130.9831082,
PSJスーパージャンボ 一の宮店,下関市一の宮町４丁目３−７ パチンコＰＳＪ,33.9928974,130.9517078,
☆スーパーハリウッド☆門司店☆,北九州市門司区片上海岸３−９５−６８,33.9304855,130.9431527,
アリーナ 門司店,北九州市門司区柳町１丁目７−５ パチンコアリーナ,33.9049599,130.9377224,
PSJ綾羅木店,下関市綾羅木新町１丁目１−１ パチンコＰＳＪ,34.0086431,130.9242075,
エーワン 八幡店,北九州市八幡西区野面３０３−１,33.7762081,130.7319195,
ゾーン 戸畑店,北九州市戸畑区牧山新町１−３８ 1F,33.8932135,130.8166383,
ロータリーパワーステーションホール,下関市幡生宮の下町１０−２０ パチンコロータリーパワーステーション,33.9818962,130.9334000,
P-TOWN 下到津店,北九州市小倉北区下到津１丁目１−１０,33.8782417,130.8598629,
ダイナム下関店,下関市長府才川１丁目57番1号,34.0277647,131.0111949,
マルハン 本城店,北九州市八幡西区本城４丁目８−１０,33.8819712,130.7352705,
テキサス1000 小倉店,北九州市小倉北区鋳物師町３−１ パチンコテキサス１０００,33.8882634,130.8695511,
ダイナム福岡頴田店,飯塚市佐與１５５８,33.6701204,130.7184223,
アリーナ 小倉,北九州市小倉南区城野１丁目８−３３,33.8577386,130.8858309,
ゾーン 本城店,北九州市八幡西区本城東５丁目２−３３,33.8715109,130.7319866,
エーワン 福智店,福智町赤池１１１２−１,33.6984253,130.7701245,
パチンコ専門店アプロ1,北九州市小倉北区中津口１丁目４−１ アプロ・１,33.8797181,130.8889459,
門司ジェイピーステージ,北九州市門司区下二十町４−５０ パチンコ門司ジェイピーステージ,33.9107143,130.9377635,
ベルエアマックス 本城店,北九州市八幡西区本城東４丁目５−３ パチンコベルエアＭＡＸ,33.8738198,130.7330490,
ダッシュ 葛原店,北九州市小倉南区葛原東１丁目４−１ パチンコダッシュ,33.8391385,130.9283770,
パーラートキワ,北九州市小倉北区魚町１丁目３−１３,33.8853343,130.8808834,
ベガ小嶺店,北九州市八幡西区小嶺１丁目７−７,33.8146208,130.7493103,
アプロ7,北九州市小倉北区中津口１丁目３−７ ＳＬＯＴ ＡＰＲＯ．７,33.8796333,130.8884093,
PASSAGE STATION,北九州市小倉北区京町２丁目１−１５,33.8859247,130.8802876,
エーワンＤＥＡＲ黒崎店,北九州市八幡西区黒崎２丁目２−２,33.8652209,130.7664128,
黒崎 太陽会館,北九州市八幡西区黒崎２丁目２−１,33.8655819,130.7663530,
D’station39門司店,北九州市門司区大里原町１−３０,33.9009690,130.9313120,
ズーム 本城店,北九州市八幡西区本城東４丁目１０−１４,33.8725901,130.7332408,
クィーンラスベガス,北九州市八幡西区里中３丁目４−５ パチンコクイーン・ラスベガス,33.8392116,130.7351388,
パサージュGT 北方,北九州市小倉南区北方２丁目２６−８,33.8475965,130.8788536,
ギオン 三萩野,北九州市小倉北区香春口２丁目９２３,33.8737968,130.8811490,
ダッシュ八幡店,北九州市八幡東区中央２丁目１８−１,33.8653969,130.8110725,
GION KOKURA,北九州市小倉北区京町２丁目６−２２,33.8857769,130.8807427,
OPA 黒住店,北九州市小倉北区黒住町１,33.8635258,130.8933387,
クラブハウス 宮田支店,宮若市本城１１１４,33.7307334,130.6767930,
FORE,北九州市若松区中川町１２−２１,33.9050728,130.8072368,
モナコパレス グリーンランド店,荒尾市本井手１５７４−４３,32.9868193,130.4690870,
マルハン 荒尾店,荒尾市西原町３丁目２−４４,33.0010090,130.4322932,
ワンダーランド 八江店,大牟田市田端町３５,33.0150948,130.4401139,
マルハン 山鹿店,山鹿市方保田３４１７−１,33.0068838,130.7223484,
ベルエアマックス 荒尾店,荒尾市本井手１５１８−１,32.9875324,130.4726293,
ワンダーランド 日出町店,大牟田市日出町２丁目３−１８,33.0399601,130.4555283,
E・L・L・E （エル） 菊池店,菊池市西寺１５２２,32.9763445,130.7966233,
つかさ 大牟田店,大牟田市船津町４６７−３,33.0050021,130.4381038,
ワンダーランド メタルポリス,大牟田市八江町４８,33.0155238,130.4396160,
マルハン 大牟田銀水店,大牟田市草木１３５−１,33.0530196,130.4582519,
夢屋 大牟田店,大牟田市手鎌１５９３−１,33.0542971,130.4444044,
BEAM YAME,八女市本村５６１−１,33.2203989,130.5593571,
太陽会館 国分店,久留米市野中町１３６２−１,33.3012262,130.5340531,
ダイナム福岡久留米店 ゆったり館,久留米市梅満町 字田角町297番地4,33.3119329,130.4937146,
ダイナム 福岡柳川店 ゆったり館,柳川市三橋町蒲船津字三ツ橋104番地1,33.1653476,130.4286480,
（株）ユーコー,久留米市東町２８−９ 広又ラッキー,33.3107921,130.5168211,
つかさ 菊池店,菊池市野間口569番地,32.9758349,130.7905864,
ダイナム福岡大刀洗店 ゆったり館,大刀洗町３４６４,33.3718212,130.6238255,
ダイナム佐賀鳥栖店 ゆったり館,鳥栖市真木町字荒巻1712番地7,33.3594571,130.5101704,
キャロル遊遊館,久留米市津福本町７８９−１,33.2964310,130.5013791,
ダイナム佐賀上峰店 ゆったり館,上峰町坊所1539番地9,33.3333338,130.4165273,
ダイナム福岡大川店 ゆったり館,大川市向島 小屋ノ内１６８８番地１,33.2156421,130.3764667,
メガフェイス1250田川店,田川市弓削田３６４６−１,33.6423870,130.7688465,
エムザス 小笹店,福岡市中央区小笹３丁目４−１,33.5655563,130.3893533,
つかさ 月隈店,福岡市博多区西月隈１丁目１−４３,33.5747078,130.4473358,
イースペース600空港店,志免町別府２丁目１８−５,33.6023168,130.4531757,
プラザ 本店Ⅱ,福岡市博多区西月隈３丁目５−３２ プラザ本店２,33.5712409,130.4546557,
BEAM by HIKARI,大野城市御笠川１丁目１３−３,33.5487829,130.4800550,
BEAM 1one,大野城市御笠川４丁目７−１２,33.5489723,130.4812711,
GOGOアリーナ天神,福岡市中央区天神２丁目６−３７,33.5896967,130.3975174,
プラザ長浜,福岡市中央区港１丁目２−１０,33.5923018,130.3851508,
オーパ 千鳥橋店,福岡市博多区千代６丁目１,33.6075808,130.4095628,
玉屋666唐津,唐津市和多田本村５−５１,33.4316509,129.9816512,
パーラーゾーン姪浜店,福岡市西区姪浜駅南１丁目２−２３,33.5833044,130.3256443,
キングホール 和多田本店,唐津市和多田本村３−７２,33.4352889,129.9811478,
A-SLOT333香椎店,東区香椎駅前１丁目６−１８,33.6583620,130.4426060,
ひばり新宮店,新宮町美咲３丁目１−１０,33.7052354,130.4409314,
PSJ BIGBOM新宮店,新宮町三代西１丁目１−１５,33.7010040,130.4518717,
ひばり 前原店,糸島市加布里５８,33.5463942,130.1699844,
テンガイ 唐津店,唐津市和多田本村３９３１−１,33.4341983,129.9810075,
ヴィーナスギャラリー清川店,福岡市中央区清川２丁目１２−８,33.5793562,130.4103193,
キングホール 前原店,糸島市浦志１丁目７−３ キングホール,33.5614560,130.2124608,
エムザス 笹丘店,福岡市中央区笹丘１丁目１２−２６,33.5660485,130.3781399,
ダイナム佐賀唐津店,唐津市鏡3596番地,33.4363204,130.0054017,
荒江プラザ,福岡市城南区飯倉１丁目６−３７,33.5671421,130.3558586,
Four Season's ゼロ,田川市伊加利２０１１−５,33.6221798,130.8279924,
ダイナム福岡嘉麻店,嘉麻市平1640番地,33.5977122,130.7279481,
クラブハウス 川崎支店,川崎町池尻３８−１,33.6104210,130.8056010,
PSJ 古賀店,古賀市久保１０７０−１,33.7380790,130.4821418,
ＨＩＮＯＤＥ志免店,志免町南里６丁目１２−１,33.5995573,130.4674063,
ユーコーラッキー 三ケ森店,北九州市八幡西区三ケ森４丁目１０−１,33.8345486,130.7375956,
ダイナム福岡桂川店,桂川町土居 字彼岸田830番地2,33.5836648,130.6778219,
ゾーン 行橋今井店,行橋市今井１１３０,33.7142720,130.9897184,
がちゃぽん 戸畑店,北九州市戸畑区牧山新町３−５,33.8938183,130.8151038,
エリア21,北九州市若松区高須西１丁目１−１,33.8903045,130.6884344,
イースペース篠栗店,篠栗町庄２丁目８−８,33.6223349,130.5190608,
アリーナ港町,宇部市港町１丁目１１−１６,33.9454884,131.2479859,
マルハン 宇部店,宇部市東見初町１−４０,33.9341872,131.2556989,
ワンダーランド 中津米山店,中津市蛎瀬１２８０−１,33.6051531,131.2114063,
マルハン 中津店,中津市東浜８９７,33.6014448,131.2148237,
中津サミット,中津市一ツ松２２８,33.5913903,131.2056491,
パーラージャンボ則松店,北九州市八幡西区則松５丁目４−６,33.8614023,130.7241589,
パーラー21世紀,北九州市八幡西区楠橋南３丁目２−３９,33.7860340,130.7378537,
OPA片野北店,北九州市小倉北区片野３丁目１０−１３,33.8651812,130.8816296,
CORE21 下通店,熊本市中央区下通１丁目１２−２７,32.8004469,130.7077865,
１２３新市街店,熊本市中央区新市街９−１,32.7988047,130.7067467,
FACE 555 新市街店,熊本市中央区新市街７−３,32.7988503,130.7055979,
ベルエアマックス北部店,熊本市北区四方寄町１６６６−１,32.8593858,130.7089662,
CORE21 玉名店,玉名市岱明町下前原４９−１,32.9290276,130.5339345,
シルバーバック 上熊本店,熊本市西区上熊本２丁目５−番１６号,32.8121435,130.6983894,
ファミリー三愛 植木店,熊本市北区植木町投刀塚３３１,32.8850110,130.6924228,
パーラーラッキー下田店,佐賀市下田町２−６６ 下田ラッキ,33.2453827,130.2742705,
Be-1 佐賀店,佐賀市下田町１−３０,33.2459903,130.2762777,
フェスタ 島原店,島原市前浜町丙160,32.8043485,130.3627326,
J-スクエア,島原市北門町１２８１,32.7999717,130.3622428,
ジョープレゼッツ,玉名市天水町部田見２７８１−１,32.8777800,130.5747639,
つかさ 築地店,玉名市築地１０８,32.9303991,130.5315506,
スロットタウンZERO 小城牛津店,小城市牛津町勝１２６４,33.2493905,130.1987969,
パチンコ親和 島原店,島原市大手原町６−１,32.8112633,130.3584173,
123ライト新市街,熊本市中央区新市街１−２０,32.7994308,130.7054791,
ダイナム熊本長洲店 ゆったり館,長洲町清源寺 字前浜3032番地,32.9213270,130.4643635,
シルバーバック新山鹿店,山鹿市山鹿803番地,33.0181091,130.6959123,
ダイナム佐賀川副店 ゆったり館,佐賀市川副町大字南里１−８０６,33.2189863,130.3165198,
ダイナム長崎島原店 ゆったり館,島原市新馬場町１７０,32.7999182,130.3674866,
ダイナム山鹿店 ゆったり館,山鹿市志々岐下津留２５,33.0072708,130.6778219,
ダイナム植木店 ゆったり館,熊本市北区植木町岩野１７９３,32.9161443,130.6925151,
ファミリー三愛植木店事務所,熊本市北区植木町投刀塚３３１,32.8850110,130.6924228,
メッカエックスピー頓野店,直方市頓野３２２９−１,33.7403075,130.7405268,
デル田川,田川市大字 夏吉194-147,33.6599840,130.8232457,
ダイナム福岡川崎店 ゆったり館,川崎町田原１０９６−１,33.6086423,130.8087346,
ダイナム福岡田川店 ゆったり館,田川市伊田4237番地1,33.6536318,130.8112689,